;$FILEVERSION=2.0
;$STARTTIME=45232.8237570602
;$COLUMNS=N,O,T,I,d,l,D
;
;   Start time: 2023/11/2 19:46:12.610.0
;   Generated by PCAN-View v4.3.4.615
;-------------------------------------------------------------------------------
;   Connection                 Bit rate
;   PCANLight_USB_16@pcan_usb  Nominal 1 MBit/s, Data 1 MBit/s
;-------------------------------------------------------------------------------
;   Message   Time    Type ID     Rx/Tx
;   Number    Offset  |    [hex]  |  Data Length
;   |         [ms]    |    |      |  |  Data [hex] ...
;   |         |       |    |      |  |  |
;---+-- ------+------ +- --+----- +- +- +- +- -- -- -- -- -- -- --
    451      6024.980 DT     0601 Rx 8  23 01 1A 01 20 01 C1 60 
    452      6025.309 DT     0581 Rx 8  60 01 1A 01 00 00 00 00 
    453      6028.971 DT     0601 Rx 8  23 01 1A 02 20 00 6C 60 
    454      6029.265 DT     0581 Rx 8  60 01 1A 02 00 00 00 00 
    455      6031.890 DT     0080 Rx 0  
    456      6034.956 DT     0601 Rx 8  2F 01 1A 00 02 00 F6 A8 
    457      6035.689 DT     0581 Rx 8  60 01 1A 00 00 00 00 00 
    458      6038.949 DT     0601 Rx 8  2F 02 1A 00 00 00 F6 A8 
    459      6039.296 DT     0581 Rx 8  60 02 1A 00 00 00 00 00 
    460      6041.868 DT     0080 Rx 0  
    461      6044.933 DT     0601 Rx 8  2F 02 1A 00 00 00 F6 A8 
    462      6045.241 DT     0581 Rx 8  60 02 1A 00 00 00 00 00 
    463      6050.921 DT     0601 Rx 8  2F 03 1A 00 00 00 F6 A8 
    464      6051.232 DT     0581 Rx 8  60 03 1A 00 00 00 00 00 
    465      6051.845 DT     0080 Rx 0  
    466      6056.907 DT     0601 Rx 8  2F 03 1A 00 00 00 F6 A8 
    467      6057.241 DT     0581 Rx 8  60 03 1A 00 00 00 00 00 
    468      6061.822 DT     0080 Rx 0  
    469      6071.799 DT     0080 Rx 0  
    470      6081.775 DT     0080 Rx 0  
    471      6091.750 DT     0080 Rx 0  
    472      6101.725 DT     0080 Rx 0  
    473      6111.700 DT     0080 Rx 0  
    474      6121.678 DT     0080 Rx 0  
    475      6131.655 DT     0080 Rx 0  
    476      6141.632 DT     0080 Rx 0  
    477      6151.608 DT     0080 Rx 0  
    478      6161.584 DT     0080 Rx 0  
    479      6171.560 DT     0080 Rx 0  
    480      6181.535 DT     0080 Rx 0  
    481      6191.511 DT     0080 Rx 0  
    482      6201.389 DT     0080 Rx 0  
    483      6211.364 DT     0080 Rx 0  
    484      6221.339 DT     0080 Rx 0  
    485      6231.315 DT     0080 Rx 0  
    486      6241.290 DT     0080 Rx 0  
    487      6251.264 DT     0080 Rx 0  
    488      6261.241 DT     0080 Rx 0  
    489      6271.215 DT     0080 Rx 0  
    490      6281.191 DT     0080 Rx 0  
    491      6291.166 DT     0080 Rx 0  
    492      6301.143 DT     0080 Rx 0  
    493      6311.119 DT     0080 Rx 0  
    494      6321.095 DT     0080 Rx 0  
    495      6331.070 DT     0080 Rx 0  
    496      6341.049 DT     0080 Rx 0  
    497      6351.024 DT     0080 Rx 0  
    498      6361.001 DT     0080 Rx 0  
    499      6370.977 DT     0080 Rx 0  
    500      6380.954 DT     0080 Rx 0  
    501      6390.931 DT     0080 Rx 0  
    502      6400.907 DT     0080 Rx 0  
    503      6410.884 DT     0080 Rx 0  
    504      6420.862 DT     0080 Rx 0  
    505      6430.837 DT     0080 Rx 0  
    506      6440.812 DT     0080 Rx 0  
    507      6450.787 DT     0080 Rx 0  
    508      6460.761 DT     0080 Rx 0  
    509      6470.736 DT     0080 Rx 0  
    510      6480.709 DT     0080 Rx 0  
    511      6490.686 DT     0080 Rx 0  
    512      6500.664 DT     0080 Rx 0  
    513      6510.641 DT     0080 Rx 0  
    514      6520.615 DT     0080 Rx 0  
    515      6530.592 DT     0080 Rx 0  
    516      6540.569 DT     0080 Rx 0  
    517      6550.545 DT     0080 Rx 0  
    518      6560.521 DT     0080 Rx 0  
    519      6570.498 DT     0080 Rx 0  
    520      6580.474 DT     0080 Rx 0  
    521      6590.451 DT     0080 Rx 0  
    522      6600.426 DT     0080 Rx 0  
    523      6610.404 DT     0080 Rx 0  
    524      6620.379 DT     0080 Rx 0  
    525      6630.357 DT     0080 Rx 0  
    526      6640.332 DT     0080 Rx 0  
    527      6650.307 DT     0080 Rx 0  
    528      6660.284 DT     0080 Rx 0  
    529      6670.258 DT     0080 Rx 0  
    530      6680.235 DT     0080 Rx 0  
    531      6690.210 DT     0080 Rx 0  
    532      6700.183 DT     0080 Rx 0  
    533      6710.159 DT     0080 Rx 0  
    534      6720.136 DT     0080 Rx 0  
    535      6730.110 DT     0080 Rx 0  
    536      6740.087 DT     0080 Rx 0  
    537      6750.060 DT     0080 Rx 0  
    538      6760.034 DT     0080 Rx 0  
    539      6770.010 DT     0080 Rx 0  
    540      6779.983 DT     0080 Rx 0  
    541      6789.958 DT     0080 Rx 0  
    542      6799.935 DT     0080 Rx 0  
    543      6809.911 DT     0080 Rx 0  
    544      6819.884 DT     0080 Rx 0  
    545      6829.859 DT     0080 Rx 0  
    546      6839.835 DT     0080 Rx 0  
